前提文	仮説文	正解ラベル
WFは血栓予防を目的に汎用される。	WFは血栓を予防することを目的に汎用される。	entailment
WFは血栓予防を目的に汎用される。	WFは血栓だけ予防することを目的に汎用される。	neutral
投与量の設定に苦慮する。	投与する量の設定に苦慮する。	entailment
投与量の設定に苦慮する。	投与する時間の設定に苦慮する。	neutral
WFの血中濃度測定を行う。	WFの血中濃度を測定する。	entailment
WFの血中濃度測定を行う。	WFの濃度を測定する。	entailment
脳梗塞と左房内血栓に対してWF投与開始した。	脳梗塞と左房内血栓に対してWF投与を開始した。	entailment
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞、左房内血栓に対してWF投与が開始された。	entailment
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞、左房内血栓に対してWFを投与した。	entailment
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞、左房内血栓に対してWFが投与された。	entailment
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞、左房内血栓に対してWFのみ投与した。	neutral
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞、左房内血栓に対してWF投与のみ開始された。	neutral
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞、右房内血栓に対してWF投与開始となった。	neutral
脳梗塞、左房内血栓に対してWF投与開始した。	心筋梗塞、左房内血栓に対してWF投与開始となった。	neutral
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞に対してWFを投与した。	entailment
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞に対してのみWFを投与した。	contradiction
脳梗塞、左房内血栓に対してWF投与開始した。	左房内血栓に対してWFを投与した。	entailment
脳梗塞、左房内血栓に対してWF投与開始した。	左房内血栓に対してのみWFを投与した。	contradiction
脳梗塞、左房内血栓に対してWF投与開始した。	右房内血栓に対してWF投与開始となった。	neutral
脳梗塞、左房内血栓に対してWF投与開始した。	心筋梗塞に対してWF投与開始となった。	neutral
肥大型心筋症に対してWF投与が開始された。	心筋症に対してWF投与が開始された。	entailment
肥大型心筋症に対してWF投与が開始された。	拡張型心筋症に対してWF投与が開始された。	neutral
肥大型心筋症に対してWF投与が開始された。	肥大型心筋症に対してWFを投与した。	entailment
WF投与が開始された。	WFを投与することが開始された。	entailment
非持続性心室頻拍が認められたため、アミオダロン併用となった。	非持続性の心室頻拍が認められたため、アミオダロン併用となった。	entailment
非持続性心室頻拍が認められたため、アミオダロン併用となった。	持続性心室頻拍が認められたため、アミオダロン併用となった。	contradiction
非持続性心室頻拍が認められたため、アミオダロン併用した。	非持続性心室頻拍が認められたため、アミオダロンを併用した。	entailment
脳梗塞、左房内血栓に対してWF投与開始した。	脳梗塞、血栓に対してWF投与開始した。	entailment
非持続性心室頻拍が認められたため、アミオダロン併用となった。	心室頻拍が認められたため、アミオダロン併用となった。	entailment
非持続性心室頻拍が認められたため、アミオダロン併用となった。	持続性の心室頻拍が認められたため、アミオダロン併用となった。	contradiction
リドカインは、心室性不整脈の治療薬として用いられている。	リドカインは、不整脈の治療薬として用いられている。	entailment
リドカインは、心室性不整脈の治療薬として用いられている。	リドカインは、心房細動の治療薬として用いられている。	neutral
リドカインは、肝障害の時に血中濃度上昇となる。	リドカインは、肝障害の時に血中濃度が上昇となる。	entailment
リドカインは、肝障害の時に血中濃度上昇となる。	リドカインは、肝障害の時に血中濃度が低下する。	contradiction
リドカインは、肝障害の時に血中濃度上昇となる。	リドカインは、肝障害の時に血中濃度低下となる。	contradiction
リドカインは、肝障害の時に血中濃度上昇となる。	リドカインは、腎障害の時に血中濃度上昇となる。	neutral
リドカインは、肝障害の時に血中濃度上昇となる。	リドカインは、肝不全の時に血中濃度上昇となる。	neutral
